0,1,2,3,4,5,6,7,8,9,10,Overs
0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.1
0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0,0.2
1,1,1,1,1,1,1,1,1,0.8,0,0.3
1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1,0,0.4
1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.5,1.1,0,0.5
,,,,,,,,,,,0.6
,,,,,,,,,,,0.7
,,,,,,,,,,,0.8
,,,,,,,,,,,0.9
2,2,2,2,2,2,2,2,1.8,1.2,0,1
2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.1,1.3,0,1.1
2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.3,1.4,0,1.2
3,3,3,3,3,3,3,2.9,2.6,1.5,0,1.3
3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.2,2.8,1.5,0,1.4
3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.5,3,1.6,0,1.5
,,,,,,,,,,,1.6
,,,,,,,,,,,1.7
,,,,,,,,,,,1.8
,,,,,,,,,,,1.9
4,4,4,4,4,4,4,3.8,3.2,1.6,0,2
4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.1,3.4,1.6,0,2.1
4.7,4.7,4.7,4.7,4.7,4.7,4.6,4.4,3.6,1.7,0,2.2
5.1,5.1,5.1,5.1,5,5,4.9,4.6,3.8,1.7,0,2.3
5.4,5.4,5.4,5.4,5.4,5.3,5.2,4.9,4,1.7,0,2.4
5.7,5.7,5.7,5.7,5.7,5.7,5.5,5.2,4.2,1.7,0,2.5
,,,,,,,,,,,2.6
,,,,,,,,,,,2.7
,,,,,,,,,,,2.8
,,,,,,,,,,,2.9
6.1,6.1,6.1,6.1,6,6,5.9,5.5,4.3,1.7,0,3
6.4,6.4,6.4,6.4,6.4,6.3,6.2,5.7,4.5,1.7,0,3.1
6.7,6.7,6.7,6.7,6.7,6.6,6.5,6,4.7,1.8,0,3.2
7.1,7.1,7.1,7.1,7,7,6.8,6.3,4.8,1.8,0,3.3
7.4,7.4,7.4,7.4,7.4,7.3,7.1,6.5,5,1.8,0,3.4
7.7,7.7,7.7,7.7,7.7,7.6,7.4,6.8,5.1,1.8,0,3.5
,,,,,,,,,,,3.6
,,,,,,,,,,,3.7
,,,,,,,,,,,3.8
,,,,,,,,,,,3.9
8.1,8.1,8.1,8.1,8,8,7.7,7,5.2,1.8,0,4
8.4,8.4,8.4,8.4,8.4,8.3,8,7.3,5.4,1.8,0,4.1
8.7,8.7,8.7,8.7,8.7,8.6,8.3,7.5,5.5,1.8,0,4.2
9.1,9.1,9.1,9.1,9,8.9,8.6,7.8,5.6,1.8,0,4.3
9.4,9.4,9.4,9.4,9.4,9.2,8.9,8,5.7,1.8,0,4.4
9.8,9.8,9.7,9.7,9.7,9.6,9.2,8.3,5.8,1.8,0,4.5
,,,,,,,,,,,4.6
,,,,,,,,,,,4.7
,,,,,,,,,,,4.8
,,,,,,,,,,,4.9
10.1,10.1,10.1,10.1,10,9.9,9.5,8.5,5.9,1.8,0,5
10.4,10.4,10.4,10.4,10.4,10.2,9.8,8.7,6,1.8,0,5.1
10.8,10.8,10.8,10.7,10.7,10.5,10.1,9,6.1,1.8,0,5.2
11.1,11.1,11.1,11.1,11,10.9,10.4,9.2,6.2,1.8,0,5.3
11.4,11.4,11.4,11.4,11.3,11.2,10.7,9.4,6.3,1.8,0,5.4
11.8,11.8,11.8,11.7,11.7,11.5,11,9.6,6.4,1.8,0,5.5
,,,,,,,,,,,5.6
,,,,,,,,,,,5.7
,,,,,,,,,,,5.8
,,,,,,,,,,,5.9
12.1,12.1,12.1,12.1,12,11.8,11.3,9.9,6.5,1.8,0,6
12.4,12.4,12.4,12.4,12.3,12.1,11.6,10.1,6.6,1.8,0,6.1
12.8,12.8,12.8,12.7,12.7,12.5,11.9,10.3,6.6,1.8,0,6.2
13.1,13.1,13.1,13.1,13,12.8,12.2,10.5,6.7,1.8,0,6.3
13.4,13.4,13.4,13.4,13.3,13.1,12.4,10.7,6.8,1.8,0,6.4
13.8,13.8,13.8,13.7,13.6,13.4,12.7,10.9,6.8,1.8,0,6.5
,,,,,,,,,,,6.6
,,,,,,,,,,,6.7
,,,,,,,,,,,6.8
,,,,,,,,,,,6.9
14.1,14.1,14.1,14.1,14,13.7,13,11.1,6.9,1.8,0,7
14.4,14.4,14.4,14.4,14.3,14,13.3,11.3,7,1.8,0,7.1
14.8,14.8,14.8,14.7,14.6,14.4,13.6,11.5,7,1.8,0,7.2
15.1,15.1,15.1,15.1,15,14.7,13.9,11.7,7.1,1.8,0,7.3
15.4,15.4,15.4,15.4,15.3,15,14.1,11.9,7.2,1.8,0,7.4
15.8,15.8,15.8,15.7,15.6,15.3,14.4,12.1,7.2,1.8,0,7.5
,,,,,,,,,,,7.6
,,,,,,,,,,,7.7
,,,,,,,,,,,7.8
,,,,,,,,,,,7.9
16.1,16.1,16.1,16.1,15.9,15.6,14.7,12.3,7.3,1.8,0,8
16.5,16.4,16.4,16.4,16.3,15.9,15,12.5,7.3,1.8,0,8.1
16.8,16.8,16.8,16.7,16.6,16.2,15.2,12.7,7.4,1.8,0,8.2
17.1,17.1,17.1,17.1,16.9,16.6,15.5,12.9,7.4,1.8,0,8.3
17.5,17.4,17.4,17.4,17.3,16.9,15.8,13,7.4,1.8,0,8.4
17.8,17.8,17.8,17.7,17.6,17.2,16.1,13.2,7.5,1.8,0,8.5
,,,,,,,,,,,8.6
,,,,,,,,,,,8.7
,,,,,,,,,,,8.8
,,,,,,,,,,,8.9
18.1,18.1,18.1,18.1,17.9,17.5,16.3,13.4,7.5,1.8,0,9
18.5,18.5,18.4,18.4,18.2,17.8,16.6,13.6,7.6,1.8,0,9.1
18.8,18.8,18.8,18.7,18.6,18.1,16.9,13.8,7.6,1.8,0,9.2
19.1,19.1,19.1,19,18.9,18.4,17.1,13.9,7.6,1.8,0,9.3
19.5,19.5,19.4,19.4,19.2,18.7,17.4,14.1,7.7,1.8,0,9.4
19.8,19.8,19.8,19.7,19.5,19,17.7,14.3,7.7,1.8,0,9.5
,,,,,,,,,,,9.6
,,,,,,,,,,,9.7
,,,,,,,,,,,9.8
,,,,,,,,,,,9.9
20.1,20.1,20.1,20,19.9,19.3,17.9,14.4,7.7,1.8,0,10
20.5,20.5,20.4,20.4,20.2,19.7,18.2,14.6,7.8,1.8,0,10.1
20.8,20.8,20.8,20.7,20.5,20,18.5,14.8,7.8,1.8,0,10.2
21.1,21.1,21.1,21,20.8,20.3,18.7,14.9,7.8,1.8,0,10.3
21.5,21.5,21.4,21.4,21.2,20.6,19,15.1,7.9,1.8,0,10.4
21.8,21.8,21.8,21.7,21.5,20.9,19.2,15.2,7.9,1.8,0,10.5
,,,,,,,,,,,10.6
,,,,,,,,,,,10.7
,,,,,,,,,,,10.8
,,,,,,,,,,,10.9
22.1,22.1,22.1,22,21.8,21.2,19.5,15.4,7.9,1.8,0,11
22.5,22.5,22.4,22.4,22.1,21.5,19.8,15.5,7.9,1.8,0,11.1
